lon,lat
116.878778,23.549972
116.809611,23.499167
116.873694,23.4675
116.792889,23.467472
116.862528,23.414611
116.704556,23.498306
116.802083,23.42
116.755778,23.342889
116.457417,23.448722
116.740361,23.25
116.639139,23.162889
116.483722,23.259972
116.505806,23.196194
116.576703,23.193224
116.495806,22.939556
116.292917,22.987472
116.094139,22.822889
116.140389,22.9
116.040806,22.93125
116.070806,22.85125
115.815806,22.744583
115.820833,22.822111
115.596639,22.880389
115.517056,22.751667
115.603778,22.756694
115.5725,22.65875
115.346667,22.714556
115.416667,22.787917
115.229167,22.782028
115.314139,22.902861
115.179139,22.777056
115.044194,22.804528
114.978306,22.68875
114.866667,22.77125
114.967889,22.679167
114.881694,22.544556
114.888333,22.59625
114.742056,22.5875
114.737889,22.733306
114.822917,22.790778
114.779972,22.837083
114.51875,22.709972
114.493278,22.647889
114.592861,22.653333
114.491222,22.563306
114.607472,22.497889
114.4975,22.452083
114.394972,22.615444
114.20875,22.5375
114.335361,22.506639
114.1675,22.455389
114.190806,22.380417
114.319944,22.481278
114.400389,22.436667
114.389139,22.366222
114.252056,22.355806
114.297528,22.260444
114.109167,22.372056
113.920278,22.369861
114.082028,22.52
113.932417,22.532806
113.882333,22.467
113.781139,22.752389
113.611972,22.803222
113.636972,22.954889
113.562861,22.927361
113.545389,23.081667
113.368333,23.11125
113.511167,23.0
113.506583,22.889528
113.3845,22.903278
113.497417,22.8895
113.615333,22.759083
113.480333,22.793222
113.604528,22.65825
113.502806,22.689917
113.583722,22.604889
113.487833,22.574917
113.571167,22.554917
113.532778,22.399889
113.622806,22.374028
113.547389,22.188639
113.514111,22.236167
113.516611,22.177833
113.429861,22.181139
113.283306,22.368639
113.342,22.245722
113.265361,22.054917
113.114083,22.072028
113.103722,22.416611
112.921694,22.514556
113.049528,22.43325
113.085361,22.205778
113.002056,22.104111
113.030389,21.948333
112.9125,21.852056
112.840833,21.990444
112.5525,21.754583
112.415417,21.839167
112.497111,21.941639
112.365,21.996222
112.412861,21.775
112.343361,21.707889
112.1925,21.739556
112.194194,21.840389
112.073306,21.782028
111.996639,21.833722
112.008778,21.765806
111.861639,21.666222
111.84,21.775389
111.675028,21.796222
111.782889,21.711667
111.78375,21.616639
111.638306,21.513722
111.580806,21.576222
111.6275,21.525417
111.467472,21.503722
111.439972,21.598694
111.446222,21.530806
111.340833,21.52625
111.409583,21.521667
111.251639,21.412917
111.289972,21.497083
111.095806,21.460417
111.029139,21.535417
111.00678,21.46023
111.074167,21.46375
110.798333,21.41375
110.650806,21.252056
110.625833,21.348722
110.631694,21.223722
